ppotoplyak@bigscreen:/tmp/ee319k$ sudo python read_serial_lab9.py
Good MSG #1 0.142
Good MSG #2 0.141
Good MSG #3 0.141
Good MSG #4 0.142
Good MSG #5 0.142
Good MSG #6 0.141
Good MSG #7 0.141
Good MSG #8 0.142
Good MSG #9 0.142
Good MSG #10 0.142
Good MSG #11 0.142
Good MSG #12 0.143
Good MSG #13 0.142
Good MSG #14 0.142
Good MSG #15 0.143
Good MSG #16 0.142
Good MSG #17 0.143
Good MSG #18 0.141
Good MSG #19 0.142
Good MSG #20 0.143
Good MSG #21 0.142
Good MSG #22 0.142
Good MSG #23 0.142
Good MSG #24 0.142
Good MSG #25 0.142
Good MSG #26 0.142
Good MSG #27 0.143
Good MSG #28 0.141
Good MSG #29 0.142
Good MSG #30 0.142
Good MSG #31 0.142
Bad byte 7: 0x2
Ignoring 0x30 while waiting for start byte
Ignoring 0x2E while waiting for start byte
Ignoring 0x31 while waiting for start byte
Ignoring 0x34 while waiting for start byte
Ignoring 0x33 while waiting for start byte
Ignoring 0xD while waiting for start byte
Ignoring 0x3 while waiting for start byte
Good MSG #32 0.141
Good MSG #33 0.143
Good MSG #34 0.143
Good MSG #35 0.143
Good MSG #36 0.143
Good MSG #37 0.141
Good MSG #38 0.143
Good MSG #39 0.143
Good MSG #40 0.142
Good MSG #41 0.142
Good MSG #42 0.142
Good MSG #43 0.144
Good MSG #44 0.141
Good MSG #45 0.142
Good MSG #46 0.199
Good MSG #47 0.292
Good MSG #48 0.400
Good MSG #49 0.513
Good MSG #50 0.635
Good MSG #51 0.749
Good MSG #52 0.847
Good MSG #53 0.950
Good MSG #54 1.046
Good MSG #55 1.133
Good MSG #56 1.218
Good MSG #57 1.321
Good MSG #58 1.444
Good MSG #59 1.552
Good MSG #60 1.668
Good MSG #61 1.803
Good MSG #62 1.946
Good MSG #63 2.010
Good MSG #64 2.010
Good MSG #65 2.011
Good MSG #66 2.011
Good MSG #67 2.011
Good MSG #68 2.011
Good MSG #69 2.011
Good MSG #70 2.011
Good MSG #71 2.011
Good MSG #72 2.011
Good MSG #73 2.011
Good MSG #74 2.011
Good MSG #75 2.011
Good MSG #76 2.011
Good MSG #77 2.011
Good MSG #78 2.011
Good MSG #79 2.011
Good MSG #80 2.011
Good MSG #81 2.007
Good MSG #82 1.895
Good MSG #83 1.795
Good MSG #84 1.709
Good MSG #85 1.652
Good MSG #86 1.606
Good MSG #87 1.566
Good MSG #88 1.523
Good MSG #89 1.475
Good MSG #90 1.426
Good MSG #91 1.370
Good MSG #92 1.319
Good MSG #93 1.270
Good MSG #94 1.216
Good MSG #95 1.167
Good MSG #96 1.132
Good MSG #97 1.085
Good MSG #98 1.033
Good MSG #99 0.977
Good MSG #100 0.908
Good MSG #101 0.829
Good MSG #102 0.755
Good MSG #103 0.672
Good MSG #104 0.598
Good MSG #105 0.522
Good MSG #106 0.447
Good MSG #107 0.373
Good MSG #108 0.301
Good MSG #109 0.225
Good MSG #110 0.146
Good MSG #111 0.142
Good MSG #112 0.142
Good MSG #113 0.142
Good MSG #114 0.142
Good MSG #115 0.143
Good MSG #116 0.143
Good MSG #117 0.143
Good MSG #118 0.143
Good MSG #119 0.143
Good MSG #120 0.143
Good MSG #121 0.142
Good MSG #122 0.142
Good MSG #123 0.142
Good MSG #124 0.142
Good MSG #125 0.142
Good MSG #126 0.142
Good MSG #127 0.142
Good MSG #128 0.161
Good MSG #129 0.282
Good MSG #130 0.356
Good MSG #131 0.417
Good MSG #132 0.465
Good MSG #133 0.506
Good MSG #134 0.539
Good MSG #135 0.566
Good MSG #136 0.607
Good MSG #137 0.654
Good MSG #138 0.706
Good MSG #139 0.757
Good MSG #140 0.805
Good MSG #141 0.850
Good MSG #142 0.901
Good MSG #143 0.941
Good MSG #144 0.966
Good MSG #145 1.002
Good MSG #146 1.048
Good MSG #147 1.080
Good MSG #148 1.122
Good MSG #149 1.169
Good MSG #150 1.211
Good MSG #151 1.264
Good MSG #152 1.309
Good MSG #153 1.339
Good MSG #154 1.383
Good MSG #155 1.414
Good MSG #156 1.461
Good MSG #157 1.541
Good MSG #158 1.620
Good MSG #159 1.706
Good MSG #160 1.797
Good MSG #161 1.866
Good MSG #162 1.936
Good MSG #163 1.991
Good MSG #164 2.010
Good MSG #165 2.011
Good MSG #166 2.011
Good MSG #167 2.011
Good MSG #168 2.011
Good MSG #169 2.011
Good MSG #170 2.011
Good MSG #171 2.011
Good MSG #172 2.011
Good MSG #173 2.011
Good MSG #174 2.010
Good MSG #175 2.011
Good MSG #176 2.011
Good MSG #177 2.011
Good MSG #178 2.010
Good MSG #179 2.011
Good MSG #180 2.011
Good MSG #181 2.010
Good MSG #182 2.011
Good MSG #183 2.011
Good MSG #184 2.011
Good MSG #185 2.011
Good MSG #186 2.011
Good MSG #187 2.011
Good MSG #188 2.011
Good MSG #189 2.011
Good MSG #190 2.011
Good MSG #191 2.011
Good MSG #192 2.011
